,WHOCountry,WHORegion,WorldBankLevel,WHOPop,GHDSubRegion,UNRegion,UNSubregion,UNIntermediateRegion,UNCountry,origin_country,origin_country_unknown,DST_ethnicity
256,Serbia and Montenegro,European,Unknown,NA,Central Europe,Europe,Southern Europe,Southern Europe,Serbia and Montenegro (not UN),Serbien og Montenegro,0,Non Western
257,Stateless,NA,Unknown,NA,NA,Unknown,Unknown,Unknown,Stateless (not UN),Statsløs,1,Unknown
258,Czechoslovakia,European,Unknown,NA,Central Europe,Europe,Eastern Europe,Eastern Europe,Czechoslovakia (not UN),Tjekkoslovakiet,0,Western
259,"Abroad, undisclosed",NA,Unknown,NA,NA,Unknown,Unknown,Unknown,"Abroad, undisclosed (not UN)",Udlandet uoplyst,1,Unknown
260,Unknown country,NA,Unknown,NA,NA,Unknown,Unknown,Unknown,Unknown country (not UN),Land ukendt,1,Unknown
261,"Iceland, danish part",European,Unknown,NA,Western Europe,Europe,Northern Europe,Northern Europe,Iceland,"Island, ligeret dansk",0,Western
262,West Indies,Americas,Unknown,NA,NA,NA,Latin America and the Caribbean,Caribbean,West Indies (not UN),Vestindiske Øer,0,Non Western
263,"Middle East, undisclosed",Eastern Mediterranean,Unknown,NA,NA,Asia,Western Asia,Western Asia,"Middle East, undisclosed (not UN)",Mellemøsten uoplyst,1,Non Western
264,"Asia, undisclosed",NA,Unknown,NA,NA,Asia,Unknown,Unknown,"Asia, undisclosed (not UN)",Asien uoplyst,1,Non Western
265,"Europe, undisclosed",European,Unknown,NA,NA,Europe,Unknown,Unknown,"Europe, undisclosed (not UN)",Europa uoplyst,1,Unknown
266,"Africa, undisclosed",African,Unknown,NA,NA,Africa,Unknown,Unknown,"Africa, undisclosed (not UN)",Afrika uoplyst,1,Non Western
