,WHOCountry,WHORegion,WorldBankLevel,WHOPop,GHDSubRegion,UNRegion,UNSubregion,UNIntermediateRegion,UNCountry,origin_country,origin_country_unknown,DST_ethnicity
138,Tonga,Western Pacific,Upper middle income,104497,Oceania,Oceania,Polynesia,Polynesia,Tonga,Tonga,0,Non Western
139,Tuvalu,Western Pacific,Upper middle income,11655,Oceania,Oceania,Polynesia,Polynesia,Tuvalu,Tuvalu,0,Non Western
140,Vanuatu,Western Pacific,Lower middle income,299882,Oceania,Oceania,Melanesia,Melanesia,Vanuatu,Vanuatu,0,Non Western
141,Bangladesh,South-East Asia,Lower middle income,163046173,South Asia,Asia,Southern Asia,Southern Asia,Bangladesh,Bangladesh,0,Non Western
142,Bhutan,South-East Asia,Lower middle income,763094,South Asia,Asia,Southern Asia,Southern Asia,Bhutan,Bhutan,0,Non Western
143,India,South-East Asia,Lower middle income,1366417756,South Asia,Asia,Southern Asia,Southern Asia,India,Indien,0,Non Western
144,Nepal,South-East Asia,Lower middle income,28608715,South Asia,Asia,Southern Asia,Southern Asia,Nepal,Nepal,0,Non Western
145,Pakistan,Eastern Mediterranean,Lower middle income,216565317,South Asia,Asia,Southern Asia,Southern Asia,Pakistan,Pakistan,0,Non Western
146,Brunei Darussalam,Western Pacific,High income,433296,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Brunei Darussalam,Brunei,0,Non Western
147,Cambodia,Western Pacific,Lower middle income,16486542,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Cambodia,Cambodja,0,Non Western
148,Indonesia,South-East Asia,Upper middle income,270625567,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Indonesia,Indonesien,0,Non Western
149,"Lao, People's Democratic Republic of",Western Pacific,Lower middle income,7169456,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Lao People's Democratic Republic,Laos,0,Non Western
150,Malaysia,Western Pacific,Upper middle income,31949789,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Malaysia,Malaysia,0,Non Western
151,Maldives,South-East Asia,Upper middle income,530957,Southeast Asia,Asia,Southern Asia,Southern Asia,Maldives,Maldiverne,0,Non Western
152,Mauritius,African,High income,1269670,Southeast Asia,Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,Mauritius,0,Non Western
153,Myanmar,South-East Asia,Lower middle income,54045422,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Myanmar,Myanmar,0,Non Western
154,Philippines,Western Pacific,Lower middle income,108116622,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Philippines,Filippinerne,0,Non Western
155,Seychelles,African,High income,97741,Southeast Asia,Africa,Sub-Saharan Africa,Eastern Africa,Seychelles,Seychellerne,0,Non Western
156,Sri Lanka,South-East Asia,Lower middle income,21323734,Southeast Asia,Asia,Southern Asia,Southern Asia,Sri Lanka,Sri Lanka,0,Non Western
157,Thailand,South-East Asia,Upper middle income,69625581,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Thailand,Thailand,0,Non Western
158,Timor-Leste,South-East Asia,Lower middle income,1293120,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Timor-Leste,Timor-Leste,0,Non Western
159,Vietnam,Western Pacific,Lower middle income,96462108,Southeast Asia,Asia,South-eastern Asia,South-eastern Asia,Viet Nam,Vietnam,0,Non Western
160,Argentina,Americas,Upper middle income,44780675,Southern Latin America,Americas,Latin America and the Caribbean,South America,Argentina,Argentina,0,Non Western
161,Chile,Americas,High income,18952035,Southern Latin America,Americas,Latin America and the Caribbean,South America,Chile,Chile,0,Non Western
162,Uruguay,Americas,High income,3461731,Southern Latin America,Americas,Latin America and the Caribbean,South America,Uruguay,Uruguay,0,Non Western
163,Botswana,African,Upper middle income,2303703,Southern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Southern Africa,Botswana,Botswana,0,Non Western
164,Eswatini,African,Lower middle income,1148133,Southern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Southern Africa,Eswatini,Eswatini,0,Non Western
165,Lesotho,African,Lower middle income,2125267,Southern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Southern Africa,Lesotho,Lesotho,0,Non Western
166,Namibia,African,Upper middle income,2494524,Southern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Southern Africa,Namibia,Namibia,0,Non Western
167,South Africa,African,Upper middle income,58558267,Southern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Southern Africa,South Africa,Sydafrika,0,Non Western
168,Zimbabwe,African,Lower middle income,14645473,Southern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,Zimbabwe,0,Non Western
169,Brazil,Americas,Upper middle income,211049519,Tropical Latin America,Americas,Latin America and the Caribbean,South America,Brazil,Brasilien,0,Non Western
170,Paraguay,Americas,Upper middle income,7044639,Tropical Latin America,Americas,Latin America and the Caribbean,South America,Paraguay,Paraguay,0,Non Western
171,Andorra,European,High income,77146,Western Europe,Europe,Southern Europe,Southern Europe,Andorra,Andorra,0,Western
172,Austria,European,High income,8955108,Western Europe,Europe,Western Europe,Western Europe,Austria,Østrig,0,Western
173,Belgium,European,High income,11539326,Western Europe,Europe,Western Europe,Western Europe,Belgium,Belgien,0,Western
174,Channel Islands,European,High income,172264,Western Europe,Europe,Northern Europe,Northern Europe,Channel Islands,Channeløerne,0,Western
175,Cyprus,European,High income,1198574,Western Europe,Asia,Western Asia,Western Asia,Cyprus,Cypern,0,Non Western
176,Denmark,European,High income,5771877,Western Europe,Europe,Northern Europe,Northern Europe,Denmark,Danmark,0,Western
177,Finland,European,High income,5532159,Western Europe,Europe,Northern Europe,Northern Europe,Finland,Finland,0,Western
178,France,European,High income,65129731,Western Europe,Europe,Western Europe,Western Europe,France,Frankrig,0,Western
179,Germany,European,High income,83517046,Western Europe,Europe,Western Europe,Western Europe,Germany,Tyskland,0,Western
180,Gibraltar,European,High income,33706,Western Europe,Europe,Southern Europe,Southern Europe,Gibraltar,Gibraltar,0,Western
181,Greece,European,High income,10473452,Western Europe,Europe,Southern Europe,Southern Europe,Greece,Grækenland,0,Western
182,Iceland,European,High income,339037,Western Europe,Europe,Northern Europe,Northern Europe,Iceland,Island,0,Western
183,Ireland,European,High income,4882498,Western Europe,Europe,Northern Europe,Northern Europe,Ireland,Irland,0,Western
184,Isle of Man,European,High income,84589,Western Europe,Europe,Northern Europe,Northern Europe,Isle of Man,Isle of Man,0,Western
185,Israel,European,High income,8519373,Western Europe,Asia,Western Asia,Western Asia,Israel,Israel,0,Non Western
186,Italy,European,High income,60550092,Western Europe,Europe,Southern Europe,Southern Europe,Italy,Italien,0,Western
187,Liechtenstein,European,High income,38020,Western Europe,Europe,Western Europe,Western Europe,Liechtenstein,Liechtenstein,0,Western
188,Luxembourg,European,High income,615730,Western Europe,Europe,Western Europe,Western Europe,Luxembourg,Luxembourg,0,Western
189,Malta,European,High income,440377,Western Europe,Europe,Southern Europe,Southern Europe,Malta,Malta,0,Western
190,Monaco,European,High income,38967,Western Europe,Europe,Western Europe,Western Europe,Monaco,Monaco,0,Western
191,Netherlands,European,High income,17097123,Western Europe,Europe,Western Europe,Western Europe,Netherlands (Kingdom of the),Nederlandene,0,Western
192,Norway,European,High income,5378859,Western Europe,Europe,Northern Europe,Northern Europe,Norway,Norge,0,Western
193,Palestinian Authority,Eastern Mediterranean,Lower middle income,4981422,Western Europe,Asia,Western Asia,Western Asia,State of Palestine,Palestine,0,Non Western
194,Portugal,European,High income,10226178,Western Europe,Europe,Southern Europe,Southern Europe,Portugal,Portugal,0,Western
195,San Marino,European,High income,33864,Western Europe,Europe,Southern Europe,Southern Europe,San Marino,San Marino,0,Western
196,Spain,European,High income,46736782,Western Europe,Europe,Southern Europe,Southern Europe,Spain,Spanien,0,Western
197,Sweden,European,High income,10036391,Western Europe,Europe,Northern Europe,Northern Europe,Sweden,Sverige,0,Western
198,Switzerland,European,High income,8591361,Western Europe,Europe,Western Europe,Western Europe,Switzerland,Schweiz,0,Western
199,United Kingdom,European,High income,67530161,Western Europe,Europe,Northern Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,Storbritannien,0,Western
200,Benin,African,Lower middle income,11801151,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Benin,Benin,0,Non Western
201,Burkina Faso,African,Low income,20321383,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Burkina Faso,Burkina Faso,0,Non Western
202,Cabo Verde,African,Lower middle income,549936,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Cabo Verde,Kap Verde,0,Non Western
203,Cameroon,African,Lower middle income,25876387,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Cameroon,Cameroun,0,Non Western
204,Chad,African,Low income,15946882,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Chad,Tchad,0,Non Western
205,Cote d'lvoire,African,Lower middle income,25716554,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Côte d’Ivoire,Elfenbenskysten,0,Non Western
206,"Gambia,The",African,Low income,2347696,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Gambia,Gambia,0,Non Western
207,Ghana,African,Lower middle income,30417858,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Ghana,Ghana,0,Non Western
208,Guinea,African,Low income,12771246,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Guinea,Guinea,0,Non Western
209,Guinea-Bissau,African,Low income,1920917,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau,Guinea-Bissau,0,Non Western
210,Liberia,African,Low income,4937374,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Liberia,Liberia,0,Non Western
211,Mali,African,Low income,19658023,Western Sub-Saharan Africa,Africa,Sub-Saharan Africa,Western Africa,Mali,Mali,0,Non Western
